VENDOR NAME,VENDOR WEBSITE,CATEGORY (category_id)
1800 Flowers,https://www.1800flowers.com/,4
23 And Me,https://customercare.23andme.com/hc/en-us/articles/202904780-How-can-I-see-the-status-of-my-sample-,4
4 IM Print,https://www.4imprint.com/search/track%20order?fs=ProductName&csd=ASC&page=1,4
4wd,https://www.4wd.com/order/anonymousOrders.jsp,4
511 Tactical,http://www.511tactical.com/customer-service/help-center/,4
6PM,http://6pm.com,4
A.C. Moore,http://www.acmoore.com/,4
Abercrombie,https://www.abercrombie.com,4
Academy,https://academy.custhelp.com/app/answers/detail/a_id/18/~/how-can-i-track-my-shipment%28s%29%3F,4
Aerie,https://www.ae.com,4
Aeropostale,http://www.aeropostale.com/,4
Airsoft Megastore,http://www.airsoftmegastore.com/FAQ.aspx,4
Aldo Shoes,https://www.aldoshoes.com/us/en_US/customer-service/track-order,4
All Posters,https://www.allposters.com/gallery.asp?CID=5B278AF70CF24EAD899BEC2A1F42CEA5&startat=/status/default.asp,4
Amazon,http://amazon.com,4
Amazon FBA,https://www.amazon.com/gp/help/customer/display.html?nodeId=200245430,4
American Apparel,http://www.americanapparel.com,4
American Eagle,https://www.ae.com,4
American Girl,http://www.americangirl.com/,4
Amex Card,https://www.americanexpress.com,4
Amiclub Wear,https://www.amiclubwear.com/ordertracking,4
Amway,http://www.amway.com/Support/Ordering-Product-Support/Tracking-Orders,4
AMZL_us,https://www.amazon.com/gp/help/customer/display.html?nodeId=201182000,4
Anaconda,https://www.anacondastores.com,4
Ann Taylor,http://anntaylor.com,4
Ansgear,https://www.ansgear.com/help_answer.asp?ID=9,4
Anthropologie,https://www.anthropologie.com/en-gb/help/delivery-info,4
AOL,http://www.aollines.com/,4
Apple,http://apple.com,4
Apple Iphone,https://www.apple.com,4
Aquarium Fish,http://www.aquariumfish.net/pages/track_your_shipment.htm,4
Ashley Furniture,https://www.ashleyfurniturehomestore.com,4
At A Glance,https://www.ataglance.com/ataglance/shippinginfo,4
AT&T,http://att.com,4
Autozone,https://www.autozone.com/community/forums/moderators-corner-1_community-support_cannot-order-history-shipping-info-tracking,4
Avenue,http://www.avenue.com/en_US/customer-service/help/order-status.html,4
Award Choice,https://www.awardofchoice.com/,4
B And H,https://www.bhphotovideo.com/c/find/orderTrackingForm.jsp,4
Back Country,https://www.backcountry.com/Store/account/login.jsp,4
Balfour,http://www.balfour.com/support/shipping/,4
Bali Blinds,https://www.baliblinds.com/,4
Bark Box,https://barkbox.zendesk.com/hc/en-us/articles/206159737-Where-is-my-tracking-number-,4
Barnes & Noble,http://barnesandnoble.com,4
Bath & Body Works,http://bathandbodyworks.com,4
Beach Body,https://faq.beachbody.com/app/answers/detail/a_id/339/~/order-delivery-time/lob/team,4
Bed And Bath,https://www.bedbathandbeyond.com/,4
Belk,http://www.belk.com/,4
Benefit Cosmetics,https://www.benefitcosmetics.com/,4
Bestbuy,http://bestbuy.com,4
Beyond Menu,https://www.beyondmenu.com/,4
Birch Box,https://support.birchbox.com/hc/en-us/articles/202831710-Can-I-track-my-Birchbox-,4
Biz Chair,https://www.bizchair.com/login?original=%2Forder-history,4
Bizzard,https://gear.blizzard.com/us/sales/guest/form/,4
Bloomingdales,https://www.bloomingdales.com/,4
Blue Apron,https://support.blueapron.com/hc/en-us/articles/202510668-When-will-my-delivery-arrive-,4
Blue Fly,https://www.bluefly.com/order-status,4
Bobs Furniture,https://www.mybobs.com,4
Body Building,https://www.bodybuilding.com/store/orderstatus.htm,4
Bonanza,http://www.bonanzaestore.com/sales/guest/form/,4
Borderfree,https://www.borderfree.com/#/track,4
Bose,https://www.bose.com,4
Boxy Charm,https://help.boxycharm.com/customer/portal/articles/1660089-where-can-i-find-my-tracking-information-,4
Bradford Exchange,https://www.bradfordexchange.com/,4
Brook Stone,https://www.brookstone.com/ordering-information.html,4
Bulk Reef Supply,https://www.bulkreefsupply.com/customer-center/shipping-delivery,4
Burpee,https://www.burpee.com/orders,4
Buy Dig,https://www.buydig.com/shop/TrackingOrder.aspx,4
Cabelas,http://www.cabelas.com/,4
Canvas People,http://www.canvaspeople.com/,4
Car Seat Canopy,https://www.carseatcanopy.com/cart/order_status,4
Carhartt,https://www.carhartt.com/LogonForm?catalogId=10551&langId=-1&storeId=10201,4
Carol Wright Gifts,http://www.carolwrightgifts.com/,4
Carters,https://www.carters.com/on/demandware.store/Sites-Carters-Site/default/Account-OrderSearch?id=carters,4
Case Mate,https://support.case-mate.com/support/solutions/articles/25000007365-why-can-t-i-track-my-international-order-,4
Cavenders,https://www.cavenders.com/order-track.html,4
Caviar,https://www.trycaviar.com/,4
CB2,https://www.cb2.com/order-tracking/,4
CDW,http://www.cdwsiteinfo.com/track-purchases/,4
Cellular Outfitter,https://www.cellularoutfitter.com/,4
Century Link,http://www.centurylink.com/home/help/account/how-to-track-your-order-status.html,4
Chef'd,https://www.chefd.com/,4
Chevy Chevrolet,http://gmauthority.com/blog/2017/04/gm-chevrolet-buick-gmc-cadillac-vehicle-order-tracking/,4
Chicos,https://www.chicos.com,4
Clinique,https://www.clinique.com/customer-care/my-order,4
Coach,http://www.coach.com/customer-care-faqs.html,4
