VENDOR NAME,VENDOR WEBSITE,CATEGORY (category_id)
Ginnys,https://www.ginnys.com/,4
Globo Force,http://www.globoforce.com/,4
GNC,http://www.gnc.com/,4
Go Pro,https://gopro.com/order-status,4
Go Puff,https://gopuff.com/,4
Gojane,https://www.gojane.com/,4
Golf Smith,http://www.ping-shop.com/customer-care/track-ship,4
Goulet Pen,https://www.gouletpens.com/,4
Grandin Road,https://www.grandinroad.com/,4
Group on,https://www.groupon.com/,4
Grubhub,https://www.grubhub.com,4
Guess,http://www.guess.com/,4
Guitar Center,http://www.guitarcenter.com/,4
Gurneys,https://www.gurneys.com/when_will_my_order_ship,4
Haband,https://haband.blair.com,4
Hallmark,https://www.hallmark.com/,4
Hanes,http://www.hanes.com/,4
Hay Needle,https://www.hayneedle.com/,4
Hello Fresh,https://www.hellofresh.com,4
Henri Bendel Rate Shop,https://www.henribendel.com,4
HHGregg,https://hhgregg.com/,4
Hobby Lobby,http://hobbylobby.com,4
Hollister,https://www.hollisterco.com,4
Home Choice,http://homechoice.com,4
Home Depot,http://www.homedepot.com,4
HomeGoods (TJX),http://homegoods.com,4
Hoover,https://www.hoover.com/,4
Hot Topic,http://www.hottopic.com/,4
HSN,https://www.hsn.com,4
iHerb,https://www.iherb.com,4
Instacart,https://www.instacart.com/,4
iOffer,http://www.ioffer.com/,4
Ipsy Bag,https://www.ipsy.com/,4
Isharya,https://www.isharya.com/,4
It Works,http://www.myitworks.com/,4
iTech Deals,https://www.itechdeals.com,4
J And R,https://www.jrbicycles.com/,4
J Crew,https://www.jcrew.com,4
J Jill,http://www.jjill.com,4
J.C. Penney,https://www.jcpenney.com/,4
James Avery,https://www.jamesavery.com/,4
Jared,https://www.jared.com/,4
Jeffers Pet,https://www.jefferspet.com/,4
Jegs,http://www.jegs.com/,4
Jeroms,https://www.jeromes.com/,4
Jet,https://jet.com/help-center/orders,4
Jo-Ann,https://www.joann.com/,4
Joma Shop,https://www.jomashop.com/,4
Joolz,https://my-joolz.com/,4
Jostens,http://www.jostens.com/,4
Justfab,https://www.justfab.com/,4
Justice,https://www.shopjustice.com/,4
Karma Loop,https://www.karmaloop.com/,4
Kay Jewelers,https://www.kay.com,4
Keurig,http://www.keurig.com,4
Kitchenaid,https://www.kitchenaid.com/,4
Kitchenware Direct,http://www.kitchenwarehouse.com,4
Kohl’s,https://www.kohls.com/,4
Kohler,http://www.kohler.com,4
L.L. Bean,https://www.llbean.com,4
Lake Land,http://www.lakeland.co.uk/,4
Lakeside Collection,https://www.lakeside.com/,4
Lands End,https://www.landsend.com/,4
Leesa,https://www.leesa.com/,4
Lego Shop,https://shop.lego.com/,4
Lens Crafters,https://www.lenscrafters.com/,4
Levis,http://www.levi.com,4
Levolor,https://www.levolor.com,4
Lifeproof,http://www.lifeproof.com/,4
Lifetouch,http://lifetouch.com/,4
